year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 4,business analytics,No,To go to MRT,3,29,2024-10-07,Yes,LT27 / S17,IT / CLB,A1,1900-01-01 11:40:00,Rainy,20,5,6,7,6,6,6,6
Year 3,business analytics,Yes,To go to CCA sessions,2,16,2024-10-17,No,LT27 / S17,PGP,D2,1900-01-01 13:00:00,Sunny,18,4,4,7,4,5,6,5
Year 3,business analytics,No,To go to MRT,2,20,2024-10-16,Yes,UTown,UHC / Opp UHC,D2,1900-01-01 13:25:00,Rainy,8,2,5,7,4,6,7,5
Year 1,business analytics,Yes,To go to CCA sessions,2,20,2024-10-16,No,UTown,PGP,D2,1900-01-01 12:15:00,Sunny,13,3,5,7,4,6,6,5
Year 4,business analytics,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",3,24,2024-10-11,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:34:00,Rainy,14,4,5,7,5,6,7,6
Year 3,business analytics,No,To go to CCA sessions,2,20,2024-10-16,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A2,1900-01-01 12:22:00,Rainy,7,2,6,7,4,6,7,5
Year 3,business analytics,No,All of the above,2,18,2024-10-15,No,PGP,UHC / Opp UHC,A1,1900-01-01 12:19:00,Sunny,16,4,4,7,4,5,7,6
Year 3,business analytics,Yes,To go for meals,3,27,2024-10-14,No,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 13:37:00,Sunny,13,3,5,6,5,5,6,5
Year 3,business analytics,No,To go to CCA sessions,2,16,2024-10-15,No,IT / CLB,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 11:30:00,Sunny,17,4,4,7,4,5,7,6
Year 1,business analytics,Yes,All of the above,3,20,2024-10-16,Yes,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:17:00,Sunny,14,3,5,7,5,6,7,6
Year 2,business analytics,Yes,To go to class,2,20,2024-10-16,No,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 10:15:00,Rainy,16,5,4,7,2,4,5,3
Year 1,chemistry,No,To go to class,3,35,2024-10-09,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:08:00,Sunny,28,4,8,8,5,6,9,8
Year 2,chemistry,No,To go to class,4,37,2024-10-15,No,IT / CLB,PGP,A2,1900-01-01 11:47:00,Sunny,34,4,6,9,5,7,9,7
Year 3,chemistry,No,To go to class,5,40,2024-10-08,No,UTown,UHC / Opp UHC,D2,1900-01-01 16:45:00,Sunny,17,6,6,6,8,9,10,8
Year 4,chemistry,No,To go to class,2,21,2024-10-15,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 08:40:00,Sunny,20,4,8,9,7,8,9,8
Year 1,chemistry,No,To go to class,3,30,2024-10-10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 09:01:00,Sunny,28,5,7,9,4,6,8,7
Year 3,chemistry,No,To go to class,4,40,2024-10-16,No,UTown,UHC / Opp UHC,D2,1900-01-01 14:38:00,Sunny,15,5,6,5,7,8,9,9
Year 3,chemistry,No,To go to class,4,44,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:20:00,Sunny,24,5,8,6,6,7,9,9
Year 4,chemistry,No,To go to class,3,30,2024-10-10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:30:00,Sunny,20,4,7,10,4,6,8,6
Year 2,chemistry,Yes,To go to class,5,40,2024-10-04,No,LT27 / S17,UTown,D2,1900-01-01 17:48:00,Sunny,19,6,6,6,8,9,10,8
Year 4,chemistry,No,To go to class,5,29,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:00:00,Sunny,19,9,4,9,3,6,8,4
Year 1,chemistry,No,To go to class,3,15,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 10:00:00,Sunny,9,4,8,8,7,7,8,8
Year 2,chemistry,Yes,To go to class,5,40,2024-10-02,No,UTown,LT27 / S17,D2,1900-01-01 10:50:00,Sunny,30,5,7,8,7,7,9,8
Year 2,chemistry,Yes,To go to class,5,40,2024-10-12,No,IT / CLB,PGP,A2,1900-01-01 13:42:00,Rainy,20,5,6,6,7,8,9,9
Year 3,chemistry,No,To go to class,3,10,2024-09-11,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:44:00,Sunny,16,3,6,6,5,5,8,7
Year 2,chemistry,Yes,To go to class,5,40,2024-10-02,No,UTown,LT27 / S17,D2,1900-01-01 17:50:00,Sunny,21,5,7,7,7,8,9,8
Year 4,chemistry,No,To go to class,2,14,2024-09-19,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:36:00,Sunny,20,5,6,8,6,7,9,8
Year 2,chemistry,No,To go to class,2,25,2024-10-16,No,PGP,UHC / Opp UHC,A1,1900-01-01 09:40:00,Sunny,46,4,8,10,6,6,9,8
Year 4,chemistry,No,To go to class,3,30,2024-10-10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 09:01:00,Sunny,28,4,7,9,4,6,8,7
Year 4,chemistry,No,To go to class,3,35,2024-10-09,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:32:00,Sunny,21,3,8,8,5,7,9,7
Year 3,chemistry,No,To go to class,3,33,2024-10-12,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 16:40:00,Sunny,18,3,7,8,5,7,9,7
Year 2,chemistry,No,To go to class,2,25,2024-10-16,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 08:40:00,Sunny,49,5,8,9,7,6,9,9
Year 1,chemistry,No,To go to class,5,24,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 15:00:00,Sunny,15,8,5,9,4,6,8,5
Year 4,chemistry,No,To go to class,2,26,2024-10-16,No,LT27 / S17,UTown,D2,1900-01-01 15:43:00,Sunny,8,5,7,7,8,8,10,8
Year 2,chemistry,No,To go to class,2,21,2024-10-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 07:40:00,Sunny,28,5,8,9,7,8,9,9
Year 4,chemistry,No,To go to class,2,17,2024-10-12,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:46:00,Sunny,8,4,7,7,7,7,9,8
Year 2,chemistry,No,To go to class,2,29,2024-10-11,No,UTown,LT27 / S17,D2,1900-01-01 16:40:00,Sunny,23,3,8,10,5,6,9,7
Year 3,chemistry,No,To go to class,3,21,2024-10-09,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 12:44:00,Sunny,18,3,7,8,5,6,8,7
Year 2,chemistry,No,To go to class,4,38,2024-10-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 09:49:00,Sunny,37,4,6,9,5,7,9,7
Year 4,chemistry,No,To go to class,3,14,2024-10-09,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:46:00,Sunny,17,3,7,6,6,6,8,8
Year 4,chemistry,No,To go to class,3,13,2024-10-09,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 07:46:00,Sunny,16,3,7,6,6,6,8,8
Year 4,chemistry,No,To go to class,3,15,2024-10-10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 10:47:00,Sunny,11,3,7,7,6,6,8,8
Year 4,chemistry,No,To go to class,3,13,2024-10-09,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 07:46:00,Sunny,16,3,7,6,6,6,8,8
Year 1,chemistry,No,To go to class,4,30,2024-10-09,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:01:00,Sunny,25,6,6,9,4,6,8,6
Year 1,chemistry,No,To go to class,3,30,2024-10-11,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:21:00,Sunny,24,3,8,9,5,6,9,7
Year 4,chemistry,No,To go to class,2,13,2024-09-20,No,LT27 / S17,UTown,D2,1900-01-01 07:35:00,Sunny,20,5,6,8,6,7,9,8
Year 2,chemistry,Yes,To go to class,5,40,2024-10-02,No,PGP,UHC / Opp UHC,A1,1900-01-01 17:49:00,Sunny,19,6,6,6,8,9,10,8
Year 1,chemistry,No,To go to class,3,30,2024-10-10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 09:01:00,Sunny,28,4,7,9,4,6,8,7
Year 4,chemistry,No,To go to class,3,12,2024-10-07,No,UHC / Opp UHC,UTown,D2,1900-01-01 10:00:00,Sunny,5,4,8,8,7,7,8,8
Year 1,chemistry,No,To go to class,4,30,2024-10-09,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:01:00,Sunny,26,6,6,9,4,6,8,6
Year 3,chemistry,No,To go to class,4,33,2024-10-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 12:40:00,Sunny,16,5,6,6,8,9,10,9
Year 3,chemistry,No,To go to class,2,12,2024-09-21,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 11:37:00,Sunny,12,5,6,8,6,6,9,7
Year 2,chemistry,Yes,To go to class,4,40,2024-10-03,No,UTown,UHC / Opp UHC,D2,1900-01-01 08:48:00,Sunny,36,5,8,9,6,7,9,8
Year 2,chemistry,Yes,To go to class,5,40,2024-10-05,No,PGP,UHC / Opp UHC,A1,1900-01-01 15:50:00,Sunny,24,5,6,7,7,8,9,7
Year 2,chemistry,No,To go to class,2,27,2024-10-14,No,PGP,UHC / Opp UHC,A1,1900-01-01 12:40:00,Sunny,37,4,8,10,6,6,9,8
Year 2,chemistry,No,To go to class,5,40,2024-10-05,No,PGP,UHC / Opp UHC,A1,1900-01-01 15:50:00,Sunny,24,5,6,7,7,8,9,7
Year 4,chemistry,No,To go to class,3,10,2024-09-11,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 10:06:00,Sunny,8,5,7,8,7,7,8,8
Year 1,chemistry,No,To go to class,3,28,2024-10-10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 08:01:00,Sunny,28,4,8,8,5,6,8,8
Year 2,chemistry,Yes,To go to class,5,40,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 15:50:00,Sunny,24,5,7,7,7,8,9,8
Year 2,chemistry,No,To go to class,2,25,2024-10-16,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 10:40:00,Sunny,45,4,8,10,6,6,9,8
Year 3,chemistry,No,To go to class,3,30,2024-10-11,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 16:40:00,Sunny,19,3,7,9,5,7,9,7
Year 4,chemistry,No,To go to class,2,6,2024-09-23,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 07:33:00,Sunny,19,4,5,7,5,5,8,7
Year 4,chemistry,No,To go to class,2,7,2024-09-19,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 12:19:00,Sunny,8,5,8,8,6,6,8,7
Year 4,chemistry,No,To go to class,3,13,2024-10-08,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 08:48:00,Sunny,14,3,7,6,6,6,8,8
Year 2,chemistry,No,To go to class,4,40,2024-10-02,No,PGP,UHC / Opp UHC,A1,1900-01-01 07:44:00,Sunny,33,5,8,8,6,7,9,9
Year 2,chemistry,No,To go to class,3,31,2024-10-09,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 17:41:00,Sunny,20,3,7,9,5,7,9,7
Year 3,chemistry,No,To go to class,2,5,2024-09-27,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,A2,1900-01-01 13:30:00,Sunny,11,5,7,8,5,5,8,6
Year 4,chemistry,No,To go to class,2,11,2024-09-21,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 14:36:00,Sunny,7,5,8,8,6,6,8,6
Year 2,chemistry,Yes,To go to class,5,40,2024-10-14,No,PGP,UHC / Opp UHC,A1,1900-01-01 10:50:00,Sunny,36,5,6,8,6,7,9,7
Year 2,chemistry,Yes,To go to class,5,40,2024-10-02,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 09:50:00,Sunny,33,5,7,8,7,7,9,8
Year 4,chemistry,No,To go to class,4,17,2024-10-07,No,UTown,UHC / Opp UHC,D2,1900-01-01 13:00:00,Sunny,9,6,6,8,6,7,8,7
Year 1,chemistry,No,To go to class,3,31,2024-10-11,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 08:05:00,Sunny,32,4,8,9,4,6,9,7
Year 2,chemistry,Yes,To go to class,5,40,2024-10-05,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 15:50:00,Sunny,24,5,6,7,7,8,9,7
Year 1,chemistry,No,To go to class,3,34,2024-10-12,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 08:13:00,Sunny,40,4,8,9,4,6,9,7
Year 4,chemistry,No,To go to class,2,20,2024-10-16,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:44:00,Sunny,7,5,8,9,8,8,10,8
Year 2,chemistry,Yes,To go to class,4,40,2024-10-03,No,PGP,UHC / Opp UHC,A1,1900-01-01 08:47:00,Sunny,37,5,8,9,6,7,9,8
Year 4,chemistry,No,To go to class,3,11,2024-09-07,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 07:48:00,Sunny,16,3,6,6,5,5,8,7
Year 4,chemistry,No,To go to class,5,37,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:09:00,Sunny,22,7,6,8,4,6,8,6
Year 3,chemistry,No,To go to class,3,31,2024-10-16,No,UTown,UHC / Opp UHC,D2,1900-01-01 15:42:00,Sunny,10,5,6,6,8,8,10,8
Year 4,chemistry,No,To go to class,2,18,2024-10-14,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 07:41:00,Sunny,19,4,7,8,7,8,9,8
Year 2,chemistry,No,To go to class,5,40,2024-10-15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 10:50:00,Sunny,37,5,6,8,6,7,9,7
Year 4,chemistry,No,To go to class,2,23,2024-10-14,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 15:43:00,Sunny,10,4,8,9,6,7,9,7
Year 2,chemistry,No,To go to class,3,30,2024-10-11,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 16:40:00,Sunny,21,3,7,9,5,7,9,7
Year 3,chemistry,No,To go to class,5,40,2024-10-12,No,UTown,UHC / Opp UHC,D2,1900-01-01 15:43:00,Sunny,16,6,6,5,8,9,10,8
Year 2,chemistry,No,To go to class,4,35,2024-10-06,No,LT27 / S17,UTown,D2,1900-01-01 17:45:00,Sunny,20,4,7,8,6,8,9,7
Year 4,chemistry,No,To go to class,3,14,2024-10-09,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,1900-01-01 07:46:00,Sunny,17,3,7,6,6,6,8,8
Year 3,chemistry,No,To go to class,2,14,2024-09-21,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 10:33:00,Sunny,20,4,6,8,5,5,9,7
Year 3,chemistry,No,To go to class,3,12,2024-10-07,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 07:48:00,Sunny,16,3,7,6,5,6,8,7
Year 1,chemistry,No,To go to class,3,12,2024-10-07,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 10:00:00,Sunny,5,4,8,8,7,7,8,8
Year 4,chemistry,No,To go to class,5,30,2024-10-08,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:10:00,Sunny,20,8,5,10,3,6,8,4
Year 2,computer science,No,To go to class,2,13,2024-09-20,No,COM3,UTown,D1,1900-01-01 16:00:00,Sunny,28,14,4,8,4,5,5,4
Year 1,computer science,Yes,To go to class,2,32,2024-09-28,No,UTown,LT27 / S17,D2,1900-01-01 12:11:00,Sunny,11,10,6,6,5,8,6,5
Year 3,computer science,No,To go to class,2,19,2024-09-27,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 12:30:00,Sunny,20,11,5,7,5,5,5,6
Year 2,computer science,Yes,To go to class,2,23,2024-09-29,No,PGP,UTown,D2,1900-01-01 17:00:00,Sunny,28,4,7,6,7,7,7,8
Year 1,computer science,Yes,To go to class,2,15,2024-09-21,No,UTown,COM3,D1,1900-01-01 14:30:00,Sunny,26,16,4,7,4,4,4,4
Year 1,computer science,Yes,To go to class,3,52,2024-09-20,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:14:00,Sunny,29,7,7,6,6,7,8,8
Year 1,computer science,Yes,To go to class,2,59,2024-09-26,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,29,10,7,4,7,8,8,8
Year 3,computer science,No,To go to class,1,13,2024-09-20,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 13:42:00,Sunny,7,4,7,9,5,4,6,5
Year 2,computer science,No,To go to class,1,15,2024-09-21,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 13:41:00,Sunny,7,4,7,9,5,4,6,5
Year 1,computer science,Yes,To go to class,2,36,2024-09-22,No,UTown,LT27 / S17,D2,1900-01-01 16:00:00,Sunny,25,7,7,7,7,7,7,8
Year 1,computer science,Yes,To go to class,2,15,2024-10-14,No,UTown,COM3,D1,1900-01-01 14:12:00,Sunny,26,16,4,7,4,4,4,4
Year 1,computer science,Yes,To go to class,2,30,2024-09-28,No,UTown,LT27 / S17,D2,1900-01-01 17:00:00,Sunny,29,5,7,7,7,8,7,8
Year 1,computer science,Yes,To go to class,2,15,2024-10-14,No,UTown,COM3,D1,1900-01-01 12:30:00,Sunny,21,16,4,7,4,4,4,4
Year 2,computer science,No,To go to class,1,12,2024-09-19,No,COM3,LT27 / S17,D2,1900-01-01 17:00:00,Sunny,25,15,4,8,4,6,5,4
Year 1,computer science,Yes,To go to class,3,49,2024-09-18,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,22,10,7,7,6,8,8,8
Year 1,computer science,Yes,To go to class,3,42,2024-09-17,No,UTown,LT27 / S17,D2,1900-01-01 14:00:00,Sunny,21,9,7,7,7,7,7,8
Year 2,computer science,No,To go to class,2,10,2024-09-29,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 15:00:00,Sunny,34,7,5,7,6,5,5,6
Year 3,computer science,No,To go to class,2,21,2024-09-28,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 12:30:00,Sunny,18,10,5,7,5,5,5,6
Year 1,computer science,Yes,To go to class,3,50,2024-09-19,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,23,10,7,7,6,8,8,8
Year 2,computer science,Yes,To go to class,2,34,2024-09-24,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 16:00:00,Sunny,27,6,7,7,7,8,7,8
Year 2,computer science,No,To go to class,1,10,2024-09-18,No,COM3,UTown,D1,1900-01-01 13:44:00,Sunny,7,5,6,8,3,3,5,5
Year 1,computer science,Yes,To go to class,2,15,2024-09-17,No,UTown,COM3,D1,1900-01-01 16:30:00,Sunny,28,18,3,7,3,3,3,3
Year 3,computer science,No,To go to class,1,11,2024-09-17,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 11:40:00,Sunny,9,7,6,8,4,3,6,6
Year 2,computer science,No,To go to class,1,5,2024-09-30,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 15:00:00,Sunny,26,5,6,7,6,6,7,6
Year 1,computer science,No,To go to class,1,13,2024-09-23,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 12:35:00,Sunny,17,11,5,7,5,4,6,6
Year 1,computer science,Yes,To go to class,2,15,2024-10-14,No,UTown,COM3,D1,1900-01-01 09:30:00,Sunny,17,15,5,7,5,5,5,5
Year 1,computer science,Yes,To go to class,2,35,2024-09-24,No,UTown,LT27 / S17,D2,1900-01-01 13:07:00,Sunny,13,10,6,7,5,7,6,6
Year 2,computer science,No,To go to class,2,28,2024-09-29,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 17:00:00,Sunny,29,4,7,6,7,7,7,8
Year 1,computer science,No,To go to class,1,27,2024-09-28,No,UTown,COM3,D1,1900-01-01 13:32:00,Sunny,9,4,6,8,4,3,5,6
Year 2,computer science,No,To go to class,1,5,2024-09-30,No,COM3,LT27 / S17,D2,1900-01-01 13:00:00,Sunny,27,5,6,7,6,6,7,6
Year 2,computer science,No,To go to class,1,10,2024-09-18,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:43:00,Sunny,9,6,6,8,3,3,5,5
Year 2,computer science,No,To go to class,1,8,2024-09-24,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 11:00:00,Sunny,28,10,5,8,5,6,6,5
Year 1,computer science,Yes,To go to class,2,39,2024-09-28,No,UTown,PGP,D2,1900-01-01 12:08:00,Sunny,16,10,6,6,5,8,6,6
Year 2,computer science,Yes,To go to class,2,16,2024-09-29,No,UTown,PGP,D2,1900-01-01 16:00:00,Sunny,33,6,5,7,6,6,5,7
Year 2,computer science,Yes,To go to class,2,18,2024-09-29,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 16:00:00,Sunny,32,6,5,7,6,6,5,7
Year 2,computer science,No,To go to class,1,8,2024-09-30,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 14:00:00,Sunny,26,2,7,6,6,6,7,7
Year 2,computer science,Yes,To go to class,2,18,2024-09-29,No,COM3,LT27 / S17,D2,1900-01-01 16:00:00,Sunny,32,6,5,7,6,6,5,7
Year 2,computer science,No,To go to class,2,15,2024-10-14,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 15:00:00,Sunny,25,18,4,8,4,6,5,4
Year 2,computer science,No,To go to class,1,5,2024-09-29,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 09:00:00,Sunny,29,5,5,8,5,6,6,5
Year 2,computer science,Yes,To go to class,3,42,2024-09-17,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,21,9,7,8,6,8,7,8
Year 1,computer science,Yes,To go to class,2,34,2024-09-25,No,UTown,LT27 / S17,D2,1900-01-01 16:00:00,Sunny,27,6,7,7,7,8,7,8
Year 2,computer science,No,To go to class,2,15,2024-10-14,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 15:00:00,Sunny,25,18,4,8,4,6,5,4
Year 2,computer science,Yes,To go to class,2,30,2024-09-29,No,PGP,UTown,D2,1900-01-01 14:08:00,Sunny,15,8,6,7,5,8,6,6
Year 1,computer science,Yes,To go to class,2,15,2024-09-15,No,UTown,COM3,D1,1900-01-01 17:30:00,Sunny,28,18,3,7,3,3,3,3
Year 2,computer science,No,To go to class,2,19,2024-09-18,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 10:30:00,Sunny,14,11,6,7,5,5,5,6
Year 1,computer science,No,To go to class,1,14,2024-09-26,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 12:31:00,Sunny,23,13,5,7,5,5,6,6
Year 2,computer science,No,To go to class,2,12,2024-09-21,No,UTown,COM3,D1,1900-01-01 14:00:00,Sunny,25,9,6,6,6,6,6,6
Year 1,computer science,Yes,To go to class,3,41,2024-09-17,No,UTown,LT27 / S17,D2,1900-01-01 12:02:00,Sunny,17,10,6,8,5,8,7,7
Year 1,computer science,Yes,To go to class,2,31,2024-09-27,No,UTown,LT27 / S17,D2,1900-01-01 13:10:00,Sunny,11,10,6,7,5,7,6,5
Year 2,computer science,No,To go to class,1,12,2024-09-17,No,COM3,UTown,D1,1900-01-01 15:37:00,Sunny,17,11,5,8,3,3,4,4
Year 1,computer science,Yes,To go to class,2,60,2024-09-27,No,PGP,UTown,D2,1900-01-01 13:16:00,Sunny,35,7,8,4,8,7,9,8
Year 2,computer science,Yes,To go to class,3,40,2024-09-19,No,LT27 / S17,LT13 / Ventus,A2,1900-01-01 12:03:00,Sunny,16,10,6,8,5,8,7,7
Year 1,computer science,Yes,To go to class,3,40,2024-10-14,No,UTown,LT27 / S17,D2,1900-01-01 13:00:00,Sunny,20,10,6,7,6,6,6,7
Year 2,computer science,No,To go to class,1,8,2024-09-24,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 17:00:00,Sunny,25,10,5,7,5,6,6,5
Year 1,computer science,Yes,To go to class,2,53,2024-09-21,No,UTown,LT27 / S17,D2,1900-01-01 12:00:00,Sunny,25,10,7,6,7,8,8,8
Year 1,computer science,Yes,To go to class,2,53,2024-09-27,No,LT27 / S17,LT13 / Ventus,A2,1900-01-01 13:30:00,Sunny,33,4,8,4,7,6,8,7
Year 1,computer science,No,To go to class,1,14,2024-09-15,No,COM3,UTown,D1,1900-01-01 17:30:00,Sunny,27,18,3,8,3,3,3,3
Year 2,computer science,No,To go to class,2,30,2024-09-29,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,1900-01-01 13:19:00,Sunny,10,7,6,7,5,6,5,5
Year 2,computer science,No,To go to class,1,11,2024-09-18,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 13:00:00,Sunny,25,11,6,7,6,6,6,6
Year 2,computer science,Yes,To go to class,3,43,2024-09-16,No,COM3,Kent Ridge MRT / Opp Kent Ridge MRT,D2,1900-01-01 13:01:00,Sunny,18,10,6,7,6,7,6,7
Year 2,computer science,No,To go to class,1,6,2024-09-30,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 12:00:00,Sunny,28,3,6,7,6,6,7,6
